"31 07 2021 21:52:45.494986","[(2.9314725399017334, 0.48788294196128845, -0.005419533234089613, -1.0788731575012207), (2.9314725399017334, 0.4880889356136322, -0.02837914414703846, -0.7192487716674805)]"
"31 07 2021 21:52:46.248968","[(0.3664340674877167, -0.28230321407318115, 0.9753196239471436, 23.015960693359375), (0.3664340674877167, -0.25684085488319397, 0.9082913994789124, 21.937088012695312), (0.3664340674877167, -0.2578281760215759, 0.9112094044685364, 22.296710968017578), (2.1986043453216553, -0.13042902946472168, -0.27984490990638733, -0.7192487716674805), (0.3664340674877167, -0.26519066095352173, 0.9320843815803528, 22.656335830688477), (2.1986043453216553, -0.1293107271194458, -0.24817195534706116, -0.35962438583374023)]"
"31 07 2021 21:52:46.304820","[(0.3664340674877167, -0.1845138967037201, 1.0344644784927368, 23.015960693359375), (0.7328681349754333, -0.18399716913700104, 1.0328131914138794, 23.015960693359375), (1.8321703672409058, 0.5244810581207275, -0.055241066962480545, 23.015960693359375), (0.3664340674877167, -0.22832192480564117, 0.9857255220413208, 21.937088012695312), (0.7328681349754333, 0.03157014027237892, -0.14137041568756104, -1.0788731575012207), (1.8321703672409058, 0.543358325958252, -0.25725239515304565, 21.937088012695312), (0.3664340674877167, -0.22548210620880127, 0.977504551410675, 22.296710968017578), (0.7328681349754333, -0.18808120489120483, 1.0455734729766846, 22.296710968017578), (1.8321703672409058, 0.5364916324615479, -0.20900984108448029, 22.296710968017578), (2.1986043453216553, 0.8854967355728149, -1.0651733875274658, -23.735210418701172), (0.3664340674877167, -0.1779838353395462, 1.01275634765625, 22.656335830688477), (0.7328681349754333, -0.1832418590784073, 1.0303796529769897, 22.656335830688477), (1.8321703672409058, 0.5313591957092285, -0.16286827623844147, 22.656335830688477), (2.1986043453216553, 0.7534446716308594, -0.990679919719696, -23.375585556030273)]"
"31 07 2021 21:52:46.351695","[(0.3664340674877167, 0.672806978225708, -1.36884343624115, 23.015960693359375), (0.7328681349754333, 0.28701722621917725, 0.11416057497262955, 0.0), (1.0993021726608276, 0.7294256091117859, 0.17510885000228882, -1.7981219291687012), (0.7328681349754333, 0.6602283120155334, 0.2531524896621704, -1.438497543334961), (1.0993021726608276, 0.696260929107666, 0.22630654275417328, -1.438497543334961), (1.4657362699508667, 0.7003722786903381, 0.2466309368610382, -1.438497543334961), (0.7328681349754333, 0.4510595500469208, -1.2042022943496704, 21.937088012695312), (0.7328681349754333, 0.47843044996261597, -1.2245292663574219, 22.296710968017578), (4.0307745933532715, -0.48936697840690613, -0.07488097995519638, -0.7192487716674805), (0.3664340674877167, 1.0471999645233154, -1.4259530305862427, 22.656335830688477), (0.7328681349754333, 0.2874586284160614, 0.12651744484901428, -0.35962438583374023)]"
"31 07 2021 21:52:46.406548","[(0.3664340674877167, 0.5942370891571045, -0.9786315560340881, 23.015960693359375), (1.8321703672409058, 0.29491427540779114, 0.255121648311615, -23.015960693359375), (2.1986043453216553, 0.2722410559654236, -1.214660882949829, 0.0), (1.0993021726608276, 0.8399614691734314, -0.7763815522193909, 21.217838287353516), (0.7328681349754333, 0.906384289264679, -0.7749074101448059, 21.577463150024414), (1.0993021726608276, 0.8007923364639282, -0.7377297878265381, 21.577463150024414), (0.3664340674877167, 0.7307190895080566, -1.18684720993042, 21.937088012695312), (0.7328681349754333, 0.4744057059288025, -0.7189445495605469, -1.0788731575012207), (1.0993021726608276, 0.8478860855102539, -0.7225582003593445, 21.937088012695312), (1.4657362699508667, 0.5711576342582703, -0.6278768181800842, 21.937088012695312), (1.8321703672409058, 0.2932736575603485, 0.23338820040225983, -24.094833374023438), (2.1986043453216553, 0.25518798828125, 0.13879022002220154, -24.094833374023438), (2.5650384426116943, 0.09488146752119064, -1.2346484661102295, -1.0788731575012207), (3.6643407344818115, -0.685254693031311, -0.1578710377216339, -24.094833374023438), (0.3664340674877167, 0.6759452819824219, -1.1045423746109009, 22.296710968017578), (1.8321703672409058, 0.2918740510940552, 0.21291373670101166, -23.735210418701172), (2.1986043453216553, 0.4315207600593567, -1.3447288274765015, -0.7192487716674805), (2.5650384426116943, 0.060925260186195374, 1.0318394899368286, -0.7192487716674805), (0.3664340674877167, 0.6116407513618469, -1.0589336156845093, 22.656335830688477), (1.8321703672409058, 0.2918272316455841, 0.21219150722026825, -23.375585556030273), (2.1986043453216553, 0.46412020921707153, -1.3598008155822754, -0.35962438583374023), (2.5650384426116943, -0.10213985294103622, -0.4040990471839905, 22.656335830688477)]"
"31 07 2021 21:52:46.447436","[(3.6643407344818115, -0.35107529163360596, -0.030285436660051346, 0.0), (4.0307745933532715, -0.3180689215660095, 0.03859858959913254, 0.0), (0.3664340674877167, 0.18601760268211365, -0.5645337700843811, -1.438497543334961), (0.7328681349754333, 0.15065190196037292, -0.5865156054496765, -1.438497543334961), (4.0307745933532715, -0.31799623370170593, 0.032379698008298874, -1.0788731575012207), (4.0307745933532715, -0.3509129285812378, 0.005517598241567612, -0.7192487716674805), (4.3972086906433105, -0.2900928556919098, 0.18328669667243958, -0.7192487716674805), (4.0307745933532715, -0.35093218088150024, 0.011651020497083664, -0.35962438583374023), (4.3972086906433105, -0.2909357249736786, 0.19789889454841614, -0.35962438583374023)]"
"31 07 2021 21:52:46.499298","[(3.2979066371917725, -0.3217259645462036, 0.1532202959060669, 0.0), (3.6643407344818115, -0.3202088475227356, 0.12003228068351746, 0.0), (4.0307745933532715, -0.3197712004184723, 0.10852594673633575, 0.0), (2.5650384426116943, 0.48805326223373413, 0.025906072929501534, 0.35962438583374023), (2.5650384426116943, 0.4881197214126587, 0.030354434624314308, 0.7192487716674805), (3.6643407344818115, -0.31851866841316223, 0.06493927538394928, -1.0788731575012207), (4.0307745933532715, -0.31844180822372437, 0.061249990016222, -1.0788731575012207), (3.2979066371917725, -0.3193362057209015, 0.09569700062274933, -0.7192487716674805), (3.6643407344818115, -0.3187802731990814, 0.07616118341684341, -0.7192487716674805), (4.0307745933532715, -0.3186875581741333, 0.07238476723432541, -0.7192487716674805), (3.2979066371917725, -0.3198745548725128, 0.1113530844449997, -0.35962438583374023), (3.6643407344818115, -0.3192462921142578, 0.09282004833221436, -0.35962438583374023), (4.0307745933532715, -0.3191003203392029, 0.0879463329911232, -0.35962438583374023)]"
"31 07 2021 21:52:46.596039","[(3.6643407344818115, 0.0, -0.04131053015589714, 23.375585556030273), (4.0307745933532715, -0.7582648396492004, -0.021753834560513496, -22.656335830688477), (4.0307745933532715, 0.22055985033512115, 0.0154023552313447, -22.656335830688477), (2.5650384426116943, 1.1796915531158447, -1.261674404144287, 22.656335830688477)]"
"31 07 2021 21:52:46.649896","[(3.2979066371917725, -0.3850616216659546, 0.057289719581604004, 0.0), (2.9314725399017334, 1.1328805685043335, 0.9859187602996826, -22.656335830688477), (3.2979066371917725, -0.9544931054115295, -1.2594245672225952, -22.656335830688477), (3.6643407344818115, -1.1377710103988647, -1.2917684316635132, -22.656335830688477), (4.0307745933532715, -0.6578445434570312, -1.1495598554611206, -22.656335830688477), (2.9314725399017334, 1.2452722787857056, 1.0148894786834717, -22.296710968017578), (3.2979066371917725, -0.7814015746116638, -1.207909107208252, -22.296710968017578), (4.0307745933532715, -0.804935872554779, -1.169948697090149, -22.296710968017578), (3.2979066371917725, -0.7069025635719299, -1.1756726503372192, -21.937088012695312), (1.4657362699508667, 0.5113617777824402, -0.29129278659820557, -0.35962438583374023)]"
"31 07 2021 21:52:46.702755","[(0.3664340674877167, 0.4917639493942261, -0.12063367664813995, 0.0), (0.3664340674877167, 0.4909714162349701, -0.10771971940994263, 0.35962438583374023), (4.0307745933532715, -0.354463666677475, -0.1387874186038971, 0.35962438583374023), (4.0307745933532715, -1.268191933631897, -0.8569452166557312, 0.35962438583374023), (4.3972086906433105, -0.3844987750053406, -0.022453870624303818, 0.35962438583374023), (0.3664340674877167, 0.5240717530250549, -0.040460895746946335, 0.7192487716674805), (5.862945079803467, 0.9257631301879883, -1.1261016130447388, 23.735210418701172), (6.229379177093506, 0.225300595164299, 0.20437468588352203, -22.296710968017578), (0.3664340674877167, 0.5236519575119019, -0.013574659824371338, 1.0788731575012207), (0.7328681349754333, -0.12579746544361115, 0.08620847761631012, -21.937088012695312), (0.7328681349754333, 1.1919604539871216, 0.9204936623573303, -21.937088012695312), (5.862945079803467, 0.6019455194473267, -0.986180305480957, 24.094833374023438), (0.3664340674877167, 0.523705005645752, 0.019180558621883392, 1.438497543334961), (0.3664340674877167, -0.25236523151397705, -0.8946863412857056, 1.438497543334961)]"
